Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2014;9.478
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2013;6.180
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2012;3.466
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2011;2.962
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2010;9.444
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2009;2.875
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2008;4.038
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2007;10.629
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2006;5.163
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2005;3.446
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2004;3.262
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2003;2.384
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2002;5.563
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2001;23.772
Total Nacional;05 Canarias;Importe total de la inversión en los servicios de suministro;2000;35.039
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2020;223
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2018;329
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2016;535
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2014;912
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2013;1.064
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2012;1.169
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2011;761
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2010;519
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2009;793
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2008;2.219
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2007;1.700
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2006;1.051
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2005;492
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2004;519
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2003;3.226
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2002;2.013
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2001;2.489
Total Nacional;06 Cantabria;Importe total de la inversión en los servicios de suministro;2000;2.771
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2020;8.083
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2018;4.651
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2016;13.113
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2014;19.669
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2013;19.153
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2012;17.343
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2011;33.652
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2010;42.266
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2009;62.178
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2008;67.240
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2007;78.352
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2006;22.120
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2005;6.417
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2004;9.052
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2003;17.464
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2002;7.969
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2001;11.687
Total Nacional;07 Castilla y León;Importe total de la inversión en los servicios de suministro;2000;18.265
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2020;2.397
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2018;2.041
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2016;4.693
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2014;7.196
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2013;5.124
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2012;5.856
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2011;4.553
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2010;11.090
