"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2020,"242.825"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2018,"212.460"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2016,"228.873"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2014,"250.756"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2013,"268.842"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2012,"276.530"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2011,"363.377"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2010,"313.558"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2009,"343.623"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2008,"467.184"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2007,"459.410"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2006,"311.233"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2005,"289.671"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2004,"393.655"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2003,"317.921"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2002,"283.997"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2001,"329.458"
"Total Nacional",NA,"Importe total de la inversión en los servicios de suministro",2000,"453.499"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2020,"266.221"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2018,"264.309"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2016,"256.984"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2014,"260.193"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2013,"272.051"
"Total Nacional",NA,"Longitud de la red de suministro (km)",2012,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2011,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2010,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2009,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2008,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2007,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2006,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2005,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2004,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2003,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2002,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2001,".."
"Total Nacional",NA,"Longitud de la red de suministro (km)",2000,".."
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"571.979"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"544.382"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"540.794"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"557.113"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"547.493"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"576.176"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"577.958"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"586.083"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"634.697"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"664.876"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"674.428"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"765.376"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"839.417"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"784.226"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"737.567"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"702.959"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"694.716"
"Total Nacional","01 Andalucía","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"667.280"
"Total Nacional","01 Andalucía","- Sectores económicos",2020,"103.655"
"Total Nacional","01 Andalucía","- Sectores económicos",2018,"109.319"
"Total Nacional","01 Andalucía","- Sectores económicos",2016,"98.120"
"Total Nacional","01 Andalucía","- Sectores económicos",2014,"115.286"
"Total Nacional","01 Andalucía","- Sectores económicos",2013,"125.289"
"Total Nacional","01 Andalucía","- Sectores económicos",2012,"126.719"
"Total Nacional","01 Andalucía","- Sectores económicos",2011,"95.269"
"Total Nacional","01 Andalucía","- Sectores económicos",2010,"97.639"
"Total Nacional","01 Andalucía","- Sectores económicos",2009,"102.538"
"Total Nacional","01 Andalucía","- Sectores económicos",2008,"139.007"
"Total Nacional","01 Andalucía","- Sectores económicos",2007,"148.664"
"Total Nacional","01 Andalucía","- Sectores económicos",2006,"175.802"
"Total Nacional","01 Andalucía","- Sectores económicos",2005,"189.991"
"Total Nacional","01 Andalucía","- Sectores económicos",2004,"172.755"
"Total Nacional","01 Andalucía","- Sectores económicos",2003,"149.797"
"Total Nacional","01 Andalucía","- Sectores económicos",2002,"120.917"
"Total Nacional","01 Andalucía","- Sectores económicos",2001,"119.347"
"Total Nacional","01 Andalucía","- Sectores económicos",2000,"105.543"
"Total Nacional","01 Andalucía","- Hogares",2020,"427.534"
"Total Nacional","01 Andalucía","- Hogares",2018,"392.141"
"Total Nacional","01 Andalucía","- Hogares",2016,"395.574"
"Total Nacional","01 Andalucía","- Hogares",2014,"386.102"
"Total Nacional","01 Andalucía","- Hogares",2013,"366.154"
"Total Nacional","01 Andalucía","- Hogares",2012,"389.257"
"Total Nacional","01 Andalucía","- Hogares",2011,"423.304"
"Total Nacional","01 Andalucía","- Hogares",2010,"429.266"
"Total Nacional","01 Andalucía","- Hogares",2009,"464.854"
"Total Nacional","01 Andalucía","- Hogares",2008,"460.019"
"Total Nacional","01 Andalucía","- Hogares",2007,"457.745"
"Total Nacional","01 Andalucía","- Hogares",2006,"513.383"
"Total Nacional","01 Andalucía","- Hogares",2005,"558.838"
"Total Nacional","01 Andalucía","- Hogares",2004,"530.514"
"Total Nacional","01 Andalucía","- Hogares",2003,"509.637"
"Total Nacional","01 Andalucía","- Hogares",2002,"501.159"
"Total Nacional","01 Andalucía","- Hogares",2001,"486.530"
"Total Nacional","01 Andalucía","- Hogares",2000,"490.278"
"Total Nacional","01 Andalucía","- Consumos municipales",2020,"40.790"
"Total Nacional","01 Andalucía","- Consumos municipales",2018,"42.922"
"Total Nacional","01 Andalucía","- Consumos municipales",2016,"47.100"
"Total Nacional","01 Andalucía","- Consumos municipales",2014,"55.725"
"Total Nacional","01 Andalucía","- Consumos municipales",2013,"56.050"
"Total Nacional","01 Andalucía","- Consumos municipales",2012,"60.200"
"Total Nacional","01 Andalucía","- Consumos municipales",2011,"59.385"
"Total Nacional","01 Andalucía","- Consumos municipales",2010,"59.178"
"Total Nacional","01 Andalucía","- Consumos municipales",2009,"67.305"
"Total Nacional","01 Andalucía","- Consumos municipales",2008,"65.850"
"Total Nacional","01 Andalucía","- Consumos municipales",2007,"68.019"
"Total Nacional","01 Andalucía","- Consumos municipales",2006,"76.191"
"Total Nacional","01 Andalucía","- Consumos municipales",2005,"90.588"
"Total Nacional","01 Andalucía","- Consumos municipales",2004,"80.957"
"Total Nacional","01 Andalucía","- Consumos municipales",2003,"78.133"
"Total Nacional","01 Andalucía","- Consumos municipales",2002,"80.883"
"Total Nacional","01 Andalucía","- Consumos municipales",2001,"88.839"
"Total Nacional","01 Andalucía","- Consumos municipales",2000,"71.459"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2020,"606.998"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2018,"569.826"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2016,"585.314"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2014,"588.722"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2013,"568.896"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2012,"556.842"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2011,"516.303"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2010,"497.474"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2009,"507.945"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2008,"479.831"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2007,"466.132"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2006,"487.014"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2005,"496.013"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2004,"490.925"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2003,"415.142"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2002,"335.606"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2001,"307.133"
"Total Nacional","01 Andalucía","Importe facturado por el agua suministrada",2000,"257.275"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2020,"43.361"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2018,"24.532"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2016,"24.707"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2014,"40.299"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2013,"31.357"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2012,"42.366"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2011,"152.315"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2010,"49.250"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2009,"47.526"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2008,"68.091"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2007,"53.503"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2006,"64.770"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2005,"73.472"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2004,"62.850"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2003,"50.801"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2002,"57.882"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2001,"95.113"
"Total Nacional","01 Andalucía","Importe total de la inversión en los servicios de suministro",2000,"116.440"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2020,"45.752"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2018,"45.269"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2016,"44.325"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2014,"46.210"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2013,"44.280"
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","01 Andalucía","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"97.701"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"101.723"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"102.785"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"97.052"
