"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"158.521"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"162.915"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"159.714"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"154.426"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"153.904"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"180.215"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"178.337"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"154.152"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"186.012"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"177.253"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"155.613"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"150.177"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"132.590"
"Total Nacional","05 Canarias","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"138.035"
"Total Nacional","05 Canarias","- Sectores económicos",2020,"29.273"
"Total Nacional","05 Canarias","- Sectores económicos",2018,"30.479"
"Total Nacional","05 Canarias","- Sectores económicos",2016,"28.386"
"Total Nacional","05 Canarias","- Sectores económicos",2014,"23.477"
"Total Nacional","05 Canarias","- Sectores económicos",2013,"27.607"
"Total Nacional","05 Canarias","- Sectores económicos",2012,"27.060"
"Total Nacional","05 Canarias","- Sectores económicos",2011,"31.465"
"Total Nacional","05 Canarias","- Sectores económicos",2010,"28.375"
"Total Nacional","05 Canarias","- Sectores económicos",2009,"33.820"
"Total Nacional","05 Canarias","- Sectores económicos",2008,"48.085"
"Total Nacional","05 Canarias","- Sectores económicos",2007,"47.854"
"Total Nacional","05 Canarias","- Sectores económicos",2006,"36.891"
"Total Nacional","05 Canarias","- Sectores económicos",2005,"59.744"
"Total Nacional","05 Canarias","- Sectores económicos",2004,"56.044"
"Total Nacional","05 Canarias","- Sectores económicos",2003,"44.603"
"Total Nacional","05 Canarias","- Sectores económicos",2002,"41.775"
"Total Nacional","05 Canarias","- Sectores económicos",2001,"36.719"
"Total Nacional","05 Canarias","- Sectores económicos",2000,"38.998"
"Total Nacional","05 Canarias","- Hogares",2020,"102.162"
"Total Nacional","05 Canarias","- Hogares",2018,"108.094"
"Total Nacional","05 Canarias","- Hogares",2016,"117.518"
"Total Nacional","05 Canarias","- Hogares",2014,"110.975"
"Total Nacional","05 Canarias","- Hogares",2013,"109.755"
"Total Nacional","05 Canarias","- Hogares",2012,"115.028"
"Total Nacional","05 Canarias","- Hogares",2011,"115.258"
"Total Nacional","05 Canarias","- Hogares",2010,"113.485"
"Total Nacional","05 Canarias","- Hogares",2009,"106.810"
"Total Nacional","05 Canarias","- Hogares",2008,"116.812"
"Total Nacional","05 Canarias","- Hogares",2007,"111.901"
"Total Nacional","05 Canarias","- Hogares",2006,"102.435"
"Total Nacional","05 Canarias","- Hogares",2005,"104.171"
"Total Nacional","05 Canarias","- Hogares",2004,"102.815"
"Total Nacional","05 Canarias","- Hogares",2003,"93.370"
"Total Nacional","05 Canarias","- Hogares",2002,"90.423"
"Total Nacional","05 Canarias","- Hogares",2001,"83.329"
"Total Nacional","05 Canarias","- Hogares",2000,"86.848"
"Total Nacional","05 Canarias","- Consumos municipales",2020,"9.755"
"Total Nacional","05 Canarias","- Consumos municipales",2018,"8.897"
"Total Nacional","05 Canarias","- Consumos municipales",2016,"11.606"
"Total Nacional","05 Canarias","- Consumos municipales",2014,"10.093"
"Total Nacional","05 Canarias","- Consumos municipales",2013,"21.159"
"Total Nacional","05 Canarias","- Consumos municipales",2012,"20.827"
"Total Nacional","05 Canarias","- Consumos municipales",2011,"12.991"
"Total Nacional","05 Canarias","- Consumos municipales",2010,"12.566"
"Total Nacional","05 Canarias","- Consumos municipales",2009,"13.274"
"Total Nacional","05 Canarias","- Consumos municipales",2008,"15.318"
"Total Nacional","05 Canarias","- Consumos municipales",2007,"18.582"
"Total Nacional","05 Canarias","- Consumos municipales",2006,"14.826"
"Total Nacional","05 Canarias","- Consumos municipales",2005,"22.097"
"Total Nacional","05 Canarias","- Consumos municipales",2004,"18.394"
"Total Nacional","05 Canarias","- Consumos municipales",2003,"17.640"
"Total Nacional","05 Canarias","- Consumos municipales",2002,"17.979"
"Total Nacional","05 Canarias","- Consumos municipales",2001,"12.542"
"Total Nacional","05 Canarias","- Consumos municipales",2000,"12.189"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2020,"256.335"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2018,"253.542"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2016,"299.082"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2014,"248.536"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2013,"262.430"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2012,"257.839"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2011,"256.871"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2010,"238.301"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2009,"234.812"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2008,"256.830"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2007,"244.769"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2006,"220.078"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2005,"262.567"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2004,"242.601"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2003,"224.083"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2002,"218.422"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2001,"190.879"
"Total Nacional","05 Canarias","Importe facturado por el agua suministrada",2000,"191.537"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2020,"4.015"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2018,"13.298"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2016,"6.956"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2014,"9.478"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2013,"6.180"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2012,"3.466"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2011,"2.962"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2010,"9.444"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2009,"2.875"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2008,"4.038"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2007,"10.629"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2006,"5.163"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2005,"3.446"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2004,"3.262"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2003,"2.384"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2002,"5.563"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2001,"23.772"
"Total Nacional","05 Canarias","Importe total de la inversión en los servicios de suministro",2000,"35.039"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2020,"16.732"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2018,"17.807"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2016,"16.802"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2014,"15.589"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2013,"16.497"
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","05 Canarias","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"49.457"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"46.548"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"45.482"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"48.087"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"47.767"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"50.748"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"50.029"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"51.180"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"53.233"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"59.603"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"56.060"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"65.550"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"64.232"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"61.406"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"68.854"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"65.713"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"65.920"
"Total Nacional","06 Cantabria","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"64.026"
"Total Nacional","06 Cantabria","- Sectores económicos",2020,"12.691"
"Total Nacional","06 Cantabria","- Sectores económicos",2018,"9.561"
"Total Nacional","06 Cantabria","- Sectores económicos",2016,"11.392"
"Total Nacional","06 Cantabria","- Sectores económicos",2014,"14.409"
"Total Nacional","06 Cantabria","- Sectores económicos",2013,"11.995"
"Total Nacional","06 Cantabria","- Sectores económicos",2012,"12.755"
"Total Nacional","06 Cantabria","- Sectores económicos",2011,"12.028"
"Total Nacional","06 Cantabria","- Sectores económicos",2010,"11.491"
"Total Nacional","06 Cantabria","- Sectores económicos",2009,"12.464"
"Total Nacional","06 Cantabria","- Sectores económicos",2008,"16.006"
"Total Nacional","06 Cantabria","- Sectores económicos",2007,"13.604"
"Total Nacional","06 Cantabria","- Sectores económicos",2006,"16.797"
"Total Nacional","06 Cantabria","- Sectores económicos",2005,"13.891"
"Total Nacional","06 Cantabria","- Sectores económicos",2004,"13.164"
"Total Nacional","06 Cantabria","- Sectores económicos",2003,"24.437"
"Total Nacional","06 Cantabria","- Sectores económicos",2002,"22.768"
"Total Nacional","06 Cantabria","- Sectores económicos",2001,"23.439"
"Total Nacional","06 Cantabria","- Sectores económicos",2000,"19.939"
"Total Nacional","06 Cantabria","- Hogares",2020,"35.176"
"Total Nacional","06 Cantabria","- Hogares",2018,"36.437"
"Total Nacional","06 Cantabria","- Hogares",2016,"32.789"
"Total Nacional","06 Cantabria","- Hogares",2014,"32.441"
"Total Nacional","06 Cantabria","- Hogares",2013,"31.010"
"Total Nacional","06 Cantabria","- Hogares",2012,"32.660"
"Total Nacional","06 Cantabria","- Hogares",2011,"34.045"
"Total Nacional","06 Cantabria","- Hogares",2010,"36.505"
"Total Nacional","06 Cantabria","- Hogares",2009,"37.837"
"Total Nacional","06 Cantabria","- Hogares",2008,"39.128"
"Total Nacional","06 Cantabria","- Hogares",2007,"38.809"
"Total Nacional","06 Cantabria","- Hogares",2006,"41.682"
"Total Nacional","06 Cantabria","- Hogares",2005,"39.225"
"Total Nacional","06 Cantabria","- Hogares",2004,"37.880"
"Total Nacional","06 Cantabria","- Hogares",2003,"37.118"
"Total Nacional","06 Cantabria","- Hogares",2002,"35.980"
"Total Nacional","06 Cantabria","- Hogares",2001,"34.023"
"Total Nacional","06 Cantabria","- Hogares",2000,"36.358"
"Total Nacional","06 Cantabria","- Consumos municipales",2020,"1.590"
"Total Nacional","06 Cantabria","- Consumos municipales",2018,"550"
"Total Nacional","06 Cantabria","- Consumos municipales",2016,"1.301"
"Total Nacional","06 Cantabria","- Consumos municipales",2014,"1.237"
"Total Nacional","06 Cantabria","- Consumos municipales",2013,"4.762"
"Total Nacional","06 Cantabria","- Consumos municipales",2012,"5.333"
"Total Nacional","06 Cantabria","- Consumos municipales",2011,"3.956"
"Total Nacional","06 Cantabria","- Consumos municipales",2010,"3.184"
"Total Nacional","06 Cantabria","- Consumos municipales",2009,"2.932"
"Total Nacional","06 Cantabria","- Consumos municipales",2008,"4.469"
"Total Nacional","06 Cantabria","- Consumos municipales",2007,"3.647"
"Total Nacional","06 Cantabria","- Consumos municipales",2006,"7.071"
"Total Nacional","06 Cantabria","- Consumos municipales",2005,"11.116"
"Total Nacional","06 Cantabria","- Consumos municipales",2004,"10.362"
"Total Nacional","06 Cantabria","- Consumos municipales",2003,"7.299"
"Total Nacional","06 Cantabria","- Consumos municipales",2002,"6.965"
"Total Nacional","06 Cantabria","- Consumos municipales",2001,"8.458"
"Total Nacional","06 Cantabria","- Consumos municipales",2000,"7.729"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2020,"39.687"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2018,"42.055"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2016,"41.058"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2014,"47.909"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2013,"43.375"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2012,"42.195"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2011,"36.549"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2010,"34.846"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2009,"41.684"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2008,"32.493"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2007,"32.393"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2006,"32.137"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2005,"29.051"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2004,"28.872"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2003,"27.881"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2002,"23.575"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2001,"22.698"
"Total Nacional","06 Cantabria","Importe facturado por el agua suministrada",2000,"21.691"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2020,"223"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2018,"329"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2016,"535"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2014,"912"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2013,"1.064"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2012,"1.169"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2011,"761"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2010,"519"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2009,"793"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2008,"2.219"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2007,"1.700"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2006,"1.051"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2005,"492"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2004,"519"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2003,"3.226"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2002,"2.013"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2001,"2.489"
"Total Nacional","06 Cantabria","Importe total de la inversión en los servicios de suministro",2000,"2.771"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2020,"3.742"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2018,"3.925"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2016,"3.772"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2014,"3.916"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2013,"3.614"
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","06 Cantabria","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"187.076"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"185.204"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"192.215"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"228.279"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"213.035"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"212.398"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"227.831"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"221.573"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"200.351"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"207.324"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"198.864"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"230.402"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"239.186"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"254.701"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"286.555"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"260.522"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"247.080"
"Total Nacional","07 Castilla y León","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"264.330"
"Total Nacional","07 Castilla y León","- Sectores económicos",2020,"41.284"
"Total Nacional","07 Castilla y León","- Sectores económicos",2018,"36.540"
"Total Nacional","07 Castilla y León","- Sectores económicos",2016,"40.294"
"Total Nacional","07 Castilla y León","- Sectores económicos",2014,"56.359"
"Total Nacional","07 Castilla y León","- Sectores económicos",2013,"50.374"
"Total Nacional","07 Castilla y León","- Sectores económicos",2012,"53.602"
"Total Nacional","07 Castilla y León","- Sectores económicos",2011,"48.845"
"Total Nacional","07 Castilla y León","- Sectores económicos",2010,"49.577"
"Total Nacional","07 Castilla y León","- Sectores económicos",2009,"37.123"
"Total Nacional","07 Castilla y León","- Sectores económicos",2008,"43.521"
"Total Nacional","07 Castilla y León","- Sectores económicos",2007,"30.724"
"Total Nacional","07 Castilla y León","- Sectores económicos",2006,"56.471"
"Total Nacional","07 Castilla y León","- Sectores económicos",2005,"69.721"
"Total Nacional","07 Castilla y León","- Sectores económicos",2004,"68.922"
"Total Nacional","07 Castilla y León","- Sectores económicos",2003,"81.892"
"Total Nacional","07 Castilla y León","- Sectores económicos",2002,"73.307"
"Total Nacional","07 Castilla y León","- Sectores económicos",2001,"67.086"
"Total Nacional","07 Castilla y León","- Sectores económicos",2000,"65.589"
"Total Nacional","07 Castilla y León","- Hogares",2020,"126.081"
"Total Nacional","07 Castilla y León","- Hogares",2018,"130.224"
"Total Nacional","07 Castilla y León","- Hogares",2016,"135.634"
"Total Nacional","07 Castilla y León","- Hogares",2014,"150.370"
"Total Nacional","07 Castilla y León","- Hogares",2013,"144.047"
"Total Nacional","07 Castilla y León","- Hogares",2012,"137.251"
"Total Nacional","07 Castilla y León","- Hogares",2011,"154.606"
"Total Nacional","07 Castilla y León","- Hogares",2010,"152.316"
"Total Nacional","07 Castilla y León","- Hogares",2009,"148.000"
"Total Nacional","07 Castilla y León","- Hogares",2008,"139.558"
"Total Nacional","07 Castilla y León","- Hogares",2007,"139.873"
"Total Nacional","07 Castilla y León","- Hogares",2006,"135.312"
"Total Nacional","07 Castilla y León","- Hogares",2005,"146.634"
"Total Nacional","07 Castilla y León","- Hogares",2004,"156.624"
"Total Nacional","07 Castilla y León","- Hogares",2003,"152.305"
"Total Nacional","07 Castilla y León","- Hogares",2002,"140.703"
"Total Nacional","07 Castilla y León","- Hogares",2001,"130.634"
"Total Nacional","07 Castilla y León","- Hogares",2000,"138.730"
"Total Nacional","07 Castilla y León","- Consumos municipales",2020,"19.711"
"Total Nacional","07 Castilla y León","- Consumos municipales",2018,"18.440"
"Total Nacional","07 Castilla y León","- Consumos municipales",2016,"16.287"
"Total Nacional","07 Castilla y León","- Consumos municipales",2014,"21.550"
"Total Nacional","07 Castilla y León","- Consumos municipales",2013,"18.614"
"Total Nacional","07 Castilla y León","- Consumos municipales",2012,"21.545"
"Total Nacional","07 Castilla y León","- Consumos municipales",2011,"24.380"
"Total Nacional","07 Castilla y León","- Consumos municipales",2010,"19.680"
"Total Nacional","07 Castilla y León","- Consumos municipales",2009,"15.228"
"Total Nacional","07 Castilla y León","- Consumos municipales",2008,"24.245"
"Total Nacional","07 Castilla y León","- Consumos municipales",2007,"28.267"
"Total Nacional","07 Castilla y León","- Consumos municipales",2006,"38.619"
"Total Nacional","07 Castilla y León","- Consumos municipales",2005,"22.831"
"Total Nacional","07 Castilla y León","- Consumos municipales",2004,"29.155"
"Total Nacional","07 Castilla y León","- Consumos municipales",2003,"52.358"
"Total Nacional","07 Castilla y León","- Consumos municipales",2002,"46.512"
"Total Nacional","07 Castilla y León","- Consumos municipales",2001,"49.360"
"Total Nacional","07 Castilla y León","- Consumos municipales",2000,"60.011"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2020,"114.333"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2018,"112.922"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2016,"124.949"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2014,"124.262"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2013,"113.987"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2012,"105.249"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2011,"111.779"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2010,"107.216"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2009,"104.336"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2008,"90.408"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2007,"91.396"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2006,"93.417"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2005,"92.470"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2004,"108.575"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2003,"117.488"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2002,"108.064"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2001,"92.383"
"Total Nacional","07 Castilla y León","Importe facturado por el agua suministrada",2000,"95.080"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2020,"8.083"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2018,"4.651"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2016,"13.113"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2014,"19.669"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2013,"19.153"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2012,"17.343"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2011,"33.652"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2010,"42.266"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2009,"62.178"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2008,"67.240"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2007,"78.352"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2006,"22.120"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2005,"6.417"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2004,"9.052"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2003,"17.464"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2002,"7.969"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2001,"11.687"
"Total Nacional","07 Castilla y León","Importe total de la inversión en los servicios de suministro",2000,"18.265"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2020,"16.333"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2018,"16.011"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2016,"16.532"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2014,"16.458"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2013,"18.296"
"Total Nacional","07 Castilla y León","Longitud de la red de suministro (km)",2012,".."
